State,County,Agency,Scraper,Website,Courts Website,What Data Exists,Code,FOIA Req Needed?,NIBRS?,2019 Population,Percent completion
Colorado,Costilla County,,,,,,,,,"3,887",
Colorado,Crowley County,,,,,,,,,"6,061",
Colorado,Custer County,,,,,,,,,"5,068",
Colorado,Delta County,,,,,,,,,"31,162",
Colorado,Dolores County,,,,,,,,,"2,055",
Colorado,Douglas County,,,,,,,,,"351,154",
Colorado,Eagle County,,,,,,,,,"55,127",
Colorado,El Paso County,,,,,,,,,"720,403",
Colorado,Elbert County,,,,,,,,,"26,729",
Colorado,Fremont County,,,,,,,,,"47,839",
Colorado,Garfield County,,,,,,,,,"60,061",
Colorado,Gilpin County,,,,,,,,,"6,243",
Colorado,Grand County,,,,,,,,,"15,734",
Colorado,Gunnison County,,,,,,,,,"17,462",
Colorado,Hinsdale County,,,,,,,,,820,
Colorado,Huerfano County,,,,,,,,,"6,897",
Colorado,Jackson County,,,,,,,,,"1,392",
Colorado,Jefferson County,,,,,,,,,"582,881",
Colorado,Kiowa County,,,,,,,,,"1,406",
Colorado,Kit Carson County,,,,,,,,,"7,097",
Colorado,La Plata County,,,,,,,,,"56,221",
Colorado,Lake County,,,,,,,,,"8,127",
Colorado,Larimer County,,,,,,,,,"356,899",
Colorado,Las Animas County,,,,,,,,,"14,506",
Colorado,Lincoln County,,,,,,,,,"5,701",
Colorado,Logan County,,,,,,,,,"22,409",
Colorado,Mesa County,,,,,,,,,"154,210",
Colorado,Mineral County,,,,,,,,,769,
Colorado,Moffat County,,,,,,,,,"13,283",
Colorado,Montezuma County,,,,,,,,,"26,183",
Colorado,Montrose County,,,,,,,,,"42,758",
Colorado,Morgan County,,,,,,,,,"29,068",
Colorado,Otero County,,,,,,,,,"18,278",
Colorado,Ouray County,,,,,,,,,"4,952",
Colorado,Park County,,,,,,,,,"18,845",
Colorado,Phillips County,,,,,,,,,"4,265",
Colorado,Pitkin County,,,,,,,,,"17,767",
Colorado,Prowers County,,,,,,,,,"12,172",
Colorado,Pueblo County,,,,,,,,,"168,424",
Colorado,Rio Blanco County,,,,,,,,,"6,324",
Colorado,Rio Grande County,,,,,,,,,"11,267",
Colorado,Routt County,,,,,,,,,"25,638",
Colorado,Saguache County,,,,,,,,,"6,824",
Colorado,San Juan County,,,,,,,,,728,
Colorado,San Miguel County,,,,,,,,,"8,179",
Colorado,Sedgwick County,,,,,,,,,"2,248",
Colorado,Summit County,,,,,,,,,"31,011",
Colorado,Teller County,,,,,,,,,"25,388",
Colorado,Washington County,,,,,,,,,"4,908",
Colorado,Weld County,,,,,,,,,"324,492",
Colorado,Yuma County,,,,,,,,,"10,019",
Connecticut,Fairfield County,,,,,,,,,"943,332",
Connecticut,Hartford County,,,,,,,,,"891,720",
Connecticut,Litchfield County,,,,,,,,,"180,333",
Connecticut,Middlesex County,,,,,,,,,"162,436",
Connecticut,New Haven County,,,,,,,,,"854,757",
Connecticut,New London County,,,,,,,,,"265,206",
Connecticut,Tolland County,,,,,,,,,"150,721",
Connecticut,Windham County,,,,,,,,,"116,782",
Delaware,Kent County,,,,,,,,,"180,786",
Delaware,New Castle County,,,,,,,,,"558,753",
Delaware,Sussex County,,,,,,,,,"234,225",
Florida,Alachua County,,,,,,,,,"269,043",
Florida,Baker County,,,,,,,,,"29,210",
Florida,Bay County,,,,,,,,,"174,705",
Florida,Bradford County,,,,,,,,,"28,201",
Florida,Brevard County,,,,,,,,,"601,942",
Florida,Broward County,,,,,,,,,"1,952,778",
